Customer ID,Postal Code
LO028977,S8
OH046670,DN36
FH015492,RG20
ZZ015342,BH21
TV075977,LE15
HL006234,BT66
AA070185,S8
EG051605,WC1B
UF034417,PH43
CG060898,LS9
EE025228,M14
CX034161,BD23
LT073005,W1F
YL006843,BD7
YL065975,DT10
YC083120,PR1
BT046086,DN22
WL011058,NR34
XT003630,NN4
ON076441,GL54
TI096309,B40
AM053527,L74
GA094839,TF6
CA010518,CT16
RC069836,BH21
XW060260,BD23
FR008830,DT10
YC016347,BD23
PW001906,CT15
LV083814,EH52
YO052337,WC2H
YJ078139,DL8
QP093917,BD23
LM010826,BD23
IA020578,TF6
SZ015455,AB39
DU053934,S8
FR010822,NE46
PO009558,CT15
MC022478,L33
LT063474,S1
PN010412,NN4
IR004773,M34
ES037170,AB55
XH062520,KW10
ZX008337,AB55
DI067107,IV1
LE047809,B12
EB064981,ST20
KX027147,NG22
IL009957,NN11
AC082690,EC3M
VA049493,SW1E
ZJ097568,WC1B
WZ006306,CV35
XJ066938,SG4
MQ028717,DL10
NB014517,NG22
PB063442,ST20
UA071149,EC3M
DT034609,CV35
AS095657,PH43
LT061731,BS37
RU058520,B12
WT037292,BD23
DF076925,M14
CM032751,L33
OF087559,CB4
BD074505,LE16
MJ019298,BD7
OC007575,B40
JQ000431,BS14
JX027350,BD23
AC065424,BD7
QR064670,RH5
IL085160,L33
TV097382,GU32
RV043501,CV35
LJ099998,LS6
NF066979,LN6
CY070612,LE15
DO001772,SY4
QJ030114,BS41
AP095673,BD23
RO013242,BD23
EF042732,CV35
TA007457,SY4
SE071898,SG4
HF000394,L74
YD055268,SG4
SJ097729,DN22
MU027586,B12
CH053616,AB56
SW066440,CT15
LR063902,B40
YK006641,WC1B
QP097532,S8
PW078874,L33
UX079399,AB55
MR095188,B40
KP021070,NN4
CJ007867,NG34
ON014862,OX7
XE095413,DL10
CI029431,CT16
VQ012259,SN13
MX021696,GL54
YX078642,DL10
DG015801,SW1E
GO006694,EH9
PS058519,TF6
YR000590,SW19
RK016062,NN4
VO026219,EC1V
JY078378,PR1
AC032117,SW19
AG018641,IV1
VQ077263,DN21
JA054648,DL10
MB099438,PH43
HU066299,EC3M
NH032711,IV1
GT004985,M14
XB095293,SY4
VY088461,BT2
AK047185,BS37
RP069641,S1
LY032208,LE15
FZ057864,GL54
TK000744,EC1V
UM003359,CH48
BK006338,BD23
SL056460,LN6
LW071445,SY4
OA076119,BT66
IC023332,LN6
XT059837,SN13
RJ028775,B40
YU047262,NR34
LH034480,NG22
IN017659,BD23
XQ042731,NG34
EO027251,OX7
GL049016,IV1
AX035056,NR29
QZ098914,PH43
BW040945,CT16
RG074102,DL8
JJ088756,BS37
MX029359,LE15
NV061613,N3
RL033705,NN11
QY049868,AB56
PC066841,TF6
AW056186,GU32
QN014838,BS37
YB068814,CB4
EY021607,PR1
FX080042,GU32
PH033131,WC1B
KI039617,GU32
CX029462,WF9
TU039036,S1
VH068058,EC1V
IJ021121,GU32
AO040681,NR34
GF083063,DN36
IM018779,NN11
WW058734,B12
VN077787,OX12
NS069640,BD23
DV035511,WC1B
VL030233,CV35
XI060063,EH52
EQ042956,BT66
WV028647,WC1B
LZ016012,PH43
TD068892,CT15
UB006545,B12
MI077636,OX7
DS088458,SN13
BJ097202,G4
IE054911,KW10
LY095086,LS6
BK070785,S33
XX019740,DN22
PQ042587,L33
IK076547,RH5
