Order ID,Order Date,Order Mode,Customer ID,Product ID,Sales,Cost Price,Quantity,Discount
BTC-245712,6/22/2024,Online,LO028977,01JZ3N512GHNAJSF3HCCQ0PQYY,2.99,0.897,4,0.24
NZR-891212,3/15/2024,In-Store,OH046670,01JZ3N56DDVK7Y600QGH2M6T1X,7.99,2.397,16,0.32
TDN-811093,2/29/2024,Online,FH015492,01JZ3N53A64TW72TVK28SMMXKX,29.99,8.997,2,0.09
MIX-746378,10/25/2024,In-Store,ZZ015342,01JZ3N572S4RVA29Y33YRWH174,2.99,0.897,4,0.01
UGI-201465,8/18/2024,Online,TV075977,01JZ3N52RT7CJNB27BFS6H8BF7,1.29,0.387,11,0.34
YVL-326274,12/19/2024,In-Store,HL006234,01JZ3N52MN6K6ZBMB2S60Y6661,4.99,1.497,2,0.36
NAD-339602,2/18/2024,Online,AA070185,01JZ3N53JE4J6GB3N22CPWCHED,3.99,1.197,11,0.21
YEK-987428,02/07/2024,In-Store,EG051605,01JZ3N52GWPC8JADTNSYW3Q2KW,79.99,23.997,11,
RWT-872441,6/18/2024,Online,UF034417,01JZ3N50NQCRTY15T5KFHYD594,6.99,2.097,11,0.24
CPI-519592,1/23/2024,In-Store,CG060898,01JZ3N51V0YYJTCZB369CA5D23,2.49,0.747,2,0.08
VYN-298760,9/18/2024,Online,EE025228,01JZ3N5652QADWPPWJ0PWG860E,3.29,0.987,3,0.17
TTI-504490,4/27/2024,In-Store,CX034161,01JZ3N52VR1TCRNXP4VRZN956S,2.99,0.897,20,0.03
MQD-548505,11/04/2024,Online,LT073005,01JZ3N51PJSSC4680WPA4VCNFH,3.49,1.047,13,0.11
INQ-887163,8/28/2024,In-Store,YL006843,01JZ3N5386GF97V9DCN4FSQ05Z,7.99,2.397,17,0.14
EPC-931737,12/23/2024,Online,YL065975,01JZ3N51GB6BDR542KWQH4HB6P,14.99,4.497,9,0.15
ZNW-604184,04/08/2024,In-Store,YC083120,01JZ3N513CABNBV3QR2YVXZ1SQ,4.29,1.287,15,0.24
MYO-440340,5/20/2024,Online,BT046086,01JZ3N50R3QEBK1XYP3FC0AMBH,299.99,89.997,8,0.02
DSG-803574,4/21/2024,In-Store,WL011058,01JZ3N5665EYQ6DZHK953CTJD3,5.49,1.647,14,
JYO-617315,11/21/2024,Online,XT003630,01JZ3N51E8MR51C41QCMABZRME,5.99,1.797,8,0.05
NMH-342339,06/08/2024,In-Store,ON076441,01JZ3N5127MA9SZ1Q03R14VSK5,2.99,0.897,7,0.23
HIC-342702,4/16/2024,Online,TI096309,01JZ3N55NK7Z3Q1DJRSNBS8K8A,5.99,1.797,10,0.09
IHX-141690,10/14/2024,In-Store,AM053527,01JZ3N52G9KWBBS5W8K65XVX37,5.79,1.737,17,
ZFY-381798,7/28/2024,Online,GA094839,01JZ3N5697E2JNFMRZ7HR95BTQ,4.29,1.287,6,0.33
DTA-257023,6/24/2024,In-Store,CA010518,01JZ3N55GPDCTQ0M16H985G9CF,3.79,1.137,9,0.33
RKW-982849,4/14/2024,Online,RC069836,01JZ3N53J5FTP9096ZS78Y3PGF,17.99,5.397,11,0.18
YTF-928288,10/31/2024,In-Store,XW060260,01JZ3N55W90654FHXC2MW9J551,79.99,23.997,7,0.34
BYF-464482,08/05/2024,Online,FR008830,01JZ3N50E9A9YN8P0Z7MTKENNK,34.99,10.497,14,0.08
WEE-997453,07/01/2024,In-Store,YC016347,01JZ3N531RZHRE7XP6J9J2DHWD,29.99,8.997,11,0.03
JDI-475937,04/01/2024,Online,PW001906,01JZ3N55J2TXMQMDGPQBETRMZE,3.99,1.197,13,0.07
PMF-016057,3/22/2024,In-Store,LV083814,01JZ3N513N96GEHXZ8EX7RV5DF,15.99,4.797,11,
AFZ-196672,1/24/2024,Online,YO052337,01JZ3N55RBBTDXRS10FA4G33NV,3.59,1.077,10,0.23
RAY-340575,10/03/2024,In-Store,YJ078139,01JZ3N52Q3Q3X4VAX3JPA5WFX5,5.99,1.797,9,
NRR-704122,07/11/2024,Online,QP093917,01JZ3N50Q2YVHN18ADNX70G8GG,4.49,1.347,6,0.15
OUE-020778,09/10/2024,In-Store,LM010826,01JZ3N51BYKZ5TJ5JHRAC29V9P,4.99,1.497,3,0.14
QYA-070479,10/21/2024,Online,IA020578,01JZ3N55B4WPEQE6QDRFHK84BE,129.99,38.997,11,0.23
WWL-152671,12/18/2024,In-Store,CA010518,01JZ3N55GPDCTQ0M16H985G9CF,3.79,1.137,2,0.18
XHO-996385,2/29/2024,Online,SZ015455,01JZ3N54NS8RZ04GX2AJZ79DKT,2.49,0.747,16,0.24
XOM-210568,09/01/2024,In-Store,EE025228,01JZ3N5652QADWPPWJ0PWG860E,3.29,0.987,17,0.38
ZMT-022457,3/24/2024,Online,DU053934,01JZ3N54TVQ5KQSQJ34MB6ERHH,39.99,11.997,6,0.33
UZF-990618,05/11/2024,In-Store,FR010822,01JZ3N50VPFAHBHC4N46WSZSEX,3.49,1.047,5,0.19
YIZ-536167,1/14/2024,Online,PO009558,01JZ3N51FX8Z7WYGMVG7F0YSXT,49.99,14.997,13,0.22
URP-701003,01/02/2024,In-Store,MC022478,01JZ3N50ESGK3P4RR5Z0YF0ESD,4.99,1.497,6,0.27
KGI-219987,6/19/2024,Online,LT063474,01JZ3N532B4S3S4KC6ED2FSAGB,79.99,23.997,17,0.34
OCP-808228,10/12/2024,In-Store,PN010412,01JZ3N55JX79NVSRWTH1ACVZ43,3.29,0.987,15,0.19
KSA-202828,5/27/2024,Online,IR004773,01JZ3N53K4648H22HQM0V0RQ0P,4.99,1.497,4,0.29
JEV-634682,12/09/2024,In-Store,ES037170,01JZ3N54PW1A92ZNRYB7ESDGVV,34.99,10.497,4,0.24
MVF-283019,1/28/2024,Online,XH062520,01JZ3N50MKM6Z86HMK0VE0X0JY,49.99,14.997,8,0.19
YSW-355813,07/02/2024,In-Store,PO009558,01JZ3N51FX8Z7WYGMVG7F0YSXT,49.99,14.997,6,0.37
LRP-803159,04/01/2024,Online,ZX008337,01JZ3N513XDWN5P1JB6VWJH35B,1.29,0.387,7,0.01
ZHU-728643,05/09/2024,In-Store,DI067107,01JZ3N55EPTAZNA3KX60RKB3NQ,54.99,16.497,8,0.13
LJV-275168,07/10/2024,Online,LE047809,01JZ3N539A5HCSF7DWWR5NDZ0T,49.99,14.997,20,0.34
PPD-047819,07/08/2024,In-Store,SZ015455,01JZ3N54NS8RZ04GX2AJZ79DKT,2.49,0.747,3,0.15
THY-738097,4/26/2024,Online,EB064981,01JZ3N55A8YWVWHPYTD1RHJFHB,19.99,5.997,13,0.35
INZ-133474,3/29/2024,In-Store,KX027147,01JZ3N558KZ286JKXHMDJF46W4,45.99,13.797,7,0.35
VWG-856547,9/20/2024,Online,IL009957,01JZ3N53AE9HMTFV7P3DVP5RRC,199.99,59.997,8,0.23
ABT-268843,7/16/2024,In-Store,AC082690,01JZ3N51NF43S4F83KN8ANJAGV,24.99,7.497,1,0.15
CUW-865430,1/24/2024,Online,VA049493,01JZ3N51PTJBK8NSJV8GDX8NH1,2.99,0.897,20,0.08
MBM-741069,11/24/2024,In-Store,ZJ097568,01JZ3N55V7T7WD21792YV0E465,29.99,8.997,13,0.11
KQJ-001235,04/12/2024,Online,WZ006306,01JZ3N55NWDR1PYN87QKB5G8GC,6.99,2.097,16,0.17
REA-513209,3/27/2024,In-Store,XJ066938,01JZ3N50MA05MEEWM055VCTKVV,4.29,1.287,11,0.02
LWF-677768,04/09/2024,Online,KX027147,01JZ3N558KZ286JKXHMDJF46W4,45.99,13.797,11,0.39
LBS-810439,12/05/2024,In-Store,MQ028717,01JZ3N51K81J5M6WWGKV8BS5XX,11.99,3.597,14,0.01
ARZ-296904,10/04/2024,Online,NB014517,01JZ3N52QCAFXYWMDDBS47DJ05,4.29,1.287,9,0.32
VZQ-445742,4/16/2024,In-Store,PB063442,01JZ3N56NQJT7PSK1CHWNZ3WN8,4.49,1.347,20,0.15
AEC-113992,4/20/2024,Online,UA071149,01JZ3N51YCN1GFP18YHKZ9NARX,19.99,5.997,17,0.2
CSF-687388,5/27/2024,In-Store,LE047809,01JZ3N539A5HCSF7DWWR5NDZ0T,49.99,14.997,5,
VTD-792335,04/02/2024,Online,DT034609,01JZ3N512SWNB2MS3TFZ1FX34N,19.99,5.997,17,0.32
GKM-442541,6/25/2024,In-Store,PN010412,01JZ3N55JX79NVSRWTH1ACVZ43,3.29,0.987,4,0.22
HEE-686754,04/12/2024,Online,AS095657,01JZ3N52Z38YMBTDKBN72BNGMJ,9.49,2.847,15,0.1
UAS-390406,7/18/2024,In-Store,LT061731,01JZ3N5605QF5QNFNAWRYMKMNK,1.99,0.597,19,0.1
JSD-384225,7/26/2024,Online,RU058520,01JZ3N56BQNGWJE6W17D61P2N9,59.99,17.997,4,0.08
UTS-951900,10/04/2024,In-Store,WT037292,01JZ3N55PZNB6Y5TXZQXA1RGGC,3.99,1.197,7,0.13
BQL-841570,4/24/2024,Online,DF076925,01JZ3N53TRMVHA7QGZFRK4NPM0,3.29,0.987,1,0.02
HRR-448109,1/29/2024,In-Store,CM032751,01JZ3N50CCQKGK69VX46KMSY00,9.99,2.997,14,
HEV-539434,8/31/2024,Online,OF087559,01JZ3N5580F22SME7YWP6763V2,14.99,4.497,18,0.37
AGU-166262,11/24/2024,In-Store,AM053527,01JZ3N52G9KWBBS5W8K65XVX37,5.79,1.737,3,0.04
UWT-477015,08/12/2024,Online,BD074505,01JZ3N54X6QJ7M42VWJJ1R0J5Z,22.99,6.897,13,0.35
PXZ-997751,9/19/2024,In-Store,MJ019298,01JZ3N521NPEH9RRK9J11FCCRY,2.49,0.747,15,0.06
CJV-114820,10/13/2024,Online,OC007575,01JZ3N51XV292DJKKGKEDEXG03,15.99,4.797,13,0.05
HWI-435693,08/01/2024,In-Store,JQ000431,01JZ3N55H83PKNR5TH9H69YCE3,19.99,5.997,19,0.34
TUH-975855,12/19/2024,Online,JX027350,01JZ3N5251JPAGQSNDZ381DJ2D,5.29,1.587,9,0.21
VJK-207176,09/06/2024,In-Store,AC065424,01JZ3N558ZFYZ25WMHC5485RHK,2.89,0.867,6,0.3
TSM-194299,04/10/2024,Online,QR064670,01JZ3N52DMR6FQA774NA9ENHTY,24.99,7.497,9,0.04
PCS-669873,11/28/2024,In-Store,IL085160,01JZ3N56FA38DH0AJWS97KXFF5,25,7.5,14,0.37
